time,type,source,target,score
2008_2013,death,2003_2008_C16,,
2008_2013,merge,"['2003_2008_C6', '2003_2008_C16']",2008_2013_C4,"[0.2, 0.2]"
2008_2013,birth,,2008_2013_C5,
2008_2013,birth,,2008_2013_C16,
2008_2013,birth,,2008_2013_C17,
2008_2013,birth,,2008_2013_C18,
2008_2013,birth,,2008_2013_C1,
2008_2013,birth,,2008_2013_C2,
2008_2013,birth,,2008_2013_C3,
2008_2013,birth,,2008_2013_C8,
2008_2013,birth,,2008_2013_C19,
2008_2013,birth,,2008_2013_C14,
2008_2013,birth,,2008_2013_C7,
2008_2013,birth,,2008_2013_C21,
2008_2013,birth,,2008_2013_C22,
2008_2013,birth,,2008_2013_C24,
2008_2013,birth,,2008_2013_C26,
2013_2018,survive,2008_2013_C10,2013_2018_C9,1.0
2013_2018,survive,2008_2013_C17,2013_2018_C18,1.0
2013_2018,survive,2008_2013_C11,2013_2018_C11,1.0
2013_2018,survive,2008_2013_C12,2013_2018_C13,1.0
2013_2018,survive,2008_2013_C13,2013_2018_C14,1.0
2013_2018,survive,2008_2013_C14,2013_2018_C7,0.75
2013_2018,survive,2008_2013_C7,2013_2018_C3,0.7777777777777778
2013_2018,survive,2008_2013_C22,2013_2018_C4,0.4
2013_2018,survive,2008_2013_C24,2013_2018_C20,1.0
2013_2018,survive,2008_2013_C15,2013_2018_C16,1.0
2013_2018,survive,2008_2013_C25,2013_2018_C22,1.0
2013_2018,death,2008_2013_C5,,
2013_2018,death,2008_2013_C4,,
2013_2018,death,2008_2013_C16,,
2013_2018,death,2008_2013_C6,,
2013_2018,death,2008_2013_C18,,
2013_2018,death,2008_2013_C1,,
2013_2018,death,2008_2013_C2,,
2013_2018,death,2008_2013_C3,,
2013_2018,death,2008_2013_C8,,
2013_2018,death,2008_2013_C19,,
2013_2018,death,2008_2013_C9,,
2013_2018,death,2008_2013_C20,,
2013_2018,death,2008_2013_C21,,
2013_2018,death,2008_2013_C23,,
2013_2018,death,2008_2013_C26,,
2013_2018,birth,,2013_2018_C8,
2013_2018,birth,,2013_2018_C2,
2013_2018,birth,,2013_2018_C1,
2013_2018,birth,,2013_2018_C17,
2013_2018,birth,,2013_2018_C6,
2013_2018,birth,,2013_2018_C10,
2013_2018,birth,,2013_2018_C19,
2013_2018,birth,,2013_2018_C12,
2013_2018,birth,,2013_2018_C5,
2013_2018,birth,,2013_2018_C15,
2013_2018,birth,,2013_2018_C21,
2018_2023,survive,2013_2018_C8,2018_2023_C6,1.0
2018_2023,survive,2013_2018_C9,2018_2023_C7,1.0
2018_2023,survive,2013_2018_C1,2018_2023_C1,0.4943820224719101
2018_2023,survive,2013_2018_C6,2018_2023_C4,0.5
2018_2023,survive,2013_2018_C10,2018_2023_C8,1.0
2018_2023,survive,2013_2018_C18,2018_2023_C14,1.0
2018_2023,survive,2013_2018_C11,2018_2023_C9,1.0
2018_2023,survive,2013_2018_C19,2018_2023_C16,1.0
2018_2023,survive,2013_2018_C12,2018_2023_C5,0.6
2018_2023,survive,2013_2018_C13,2018_2023_C10,1.0
2018_2023,survive,2013_2018_C14,2018_2023_C11,1.0
2018_2023,survive,2013_2018_C20,2018_2023_C17,1.0
2018_2023,survive,2013_2018_C21,2018_2023_C12,0.6666666666666666
2018_2023,survive,2013_2018_C16,2018_2023_C13,1.0
2018_2023,survive,2013_2018_C22,2018_2023_C18,1.0
2018_2023,death,2013_2018_C2,,
2018_2023,death,2013_2018_C17,,
2018_2023,death,2013_2018_C4,,
2018_2023,death,2013_2018_C7,,
2018_2023,death,2013_2018_C5,,
2018_2023,death,2013_2018_C3,,
2018_2023,death,2013_2018_C15,,
2018_2023,birth,,2018_2023_C2,
2018_2023,birth,,2018_2023_C15,
2018_2023,birth,,2018_2023_C3,
2018_2023,birth,,2018_2023_C19,
2023_2028,split,2018_2023_C2,"['2023_2028_C19', '2023_2028_C16', '2023_2028_C27']","[0.28, 0.5, 0.18181818181818182]"
2023_2028,split,2018_2023_C3,"['2023_2028_C22', '2023_2028_C44']","[0.6666666666666666, 0.19047619047619047]"
2023_2028,survive,2018_2023_C6,2023_2028_C56,1.0
2023_2028,survive,2018_2023_C7,2023_2028_C49,1.0
2023_2028,survive,2018_2023_C4,2023_2028_C39,1.0
2023_2028,survive,2018_2023_C5,2023_2028_C42,0.8333333333333334
2023_2028,survive,2018_2023_C8,2023_2028_C53,1.0
2023_2028,survive,2018_2023_C14,2023_2028_C63,1.0
2023_2028,survive,2018_2023_C15,2023_2028_C60,1.0
2023_2028,survive,2018_2023_C9,2023_2028_C52,1.0
2023_2028,survive,2018_2023_C16,2023_2028_C59,1.0
2023_2028,survive,2018_2023_C10,2023_2028_C50,1.0
2023_2028,survive,2018_2023_C11,2023_2028_C51,1.0
2023_2028,survive,2018_2023_C17,2023_2028_C65,1.0
2023_2028,survive,2018_2023_C12,2023_2028_C55,1.0
2023_2028,survive,2018_2023_C13,2023_2028_C57,1.0
2023_2028,survive,2018_2023_C18,2023_2028_C61,1.0
2023_2028,survive,2018_2023_C19,2023_2028_C64,1.0
2023_2028,death,2018_2023_C1,,
2023_2028,birth,,2023_2028_C5,
2023_2028,birth,,2023_2028_C19,
2023_2028,birth,,2023_2028_C9,
2023_2028,birth,,2023_2028_C10,
2023_2028,birth,,2023_2028_C47,
2023_2028,birth,,2023_2028_C32,
2023_2028,birth,,2023_2028_C25,
2023_2028,birth,,2023_2028_C12,
2023_2028,birth,,2023_2028_C13,
2023_2028,birth,,2023_2028_C3,
2023_2028,birth,,2023_2028_C21,
2023_2028,birth,,2023_2028_C7,
2023_2028,birth,,2023_2028_C23,
2023_2028,birth,,2023_2028_C6,
2023_2028,birth,,2023_2028_C2,
2023_2028,birth,,2023_2028_C43,
2023_2028,birth,,2023_2028_C1,
2023_2028,birth,,2023_2028_C18,
2023_2028,birth,,2023_2028_C35,
2023_2028,birth,,2023_2028_C24,
2023_2028,birth,,2023_2028_C16,
2023_2028,birth,,2023_2028_C17,
2023_2028,birth,,2023_2028_C4,
2023_2028,birth,,2023_2028_C22,
2023_2028,birth,,2023_2028_C33,
2023_2028,birth,,2023_2028_C14,
2023_2028,birth,,2023_2028_C26,
2023_2028,birth,,2023_2028_C40,
2023_2028,birth,,2023_2028_C37,
2023_2028,birth,,2023_2028_C30,
2023_2028,birth,,2023_2028_C44,
2023_2028,birth,,2023_2028_C45,
2023_2028,birth,,2023_2028_C38,
2023_2028,birth,,2023_2028_C36,
2023_2028,birth,,2023_2028_C8,
2023_2028,birth,,2023_2028_C15,
2023_2028,birth,,2023_2028_C54,
2023_2028,birth,,2023_2028_C28,
2023_2028,birth,,2023_2028_C27,
2023_2028,birth,,2023_2028_C20,
2023_2028,birth,,2023_2028_C34,
2023_2028,birth,,2023_2028_C41,
2023_2028,birth,,2023_2028_C46,
2023_2028,birth,,2023_2028_C29,
2023_2028,birth,,2023_2028_C48,
2023_2028,birth,,2023_2028_C11,
2023_2028,birth,,2023_2028_C62,
2023_2028,birth,,2023_2028_C58,
2023_2028,birth,,2023_2028_C31,
