,x0,x1,snapshot,author_id
"Guerrero, Jeannie Ma.",-1.2400833,0.13731967,2011-2014,"Guerrero, Jeannie Ma."
"Schultz, Rob",1.4776367,0.18796784,2011-2014,"Schultz, Rob"
"Burns, Lori",0.7866338,0.51602465,2011-2014,"Burns, Lori"
"McCandless, Gregory R.",1.4393537,-0.6540613,2011-2014,"McCandless, Gregory R."
"Kaminsky, Peter",1.3442097,0.11083263,2011-2014,"Kaminsky, Peter"
"Rockwell, Joti",0.8030548,0.3746439,2011-2014,"Rockwell, Joti"
"Rings, Steven",1.4660565,0.7036187,2011-2014,"Rings, Steven"
"Lester, Joel",0.78935117,1.4057834,2011-2014,"Lester, Joel"
"Nobile, Drew F.",1.3606513,-0.08835054,2011-2014,"Nobile, Drew F."
"Biamonte, Nicole",0.9245342,-0.1427499,2011-2014,"Biamonte, Nicole"
"Barolsky, Daniel",0.048025593,2.1256154,2011-2014,"Barolsky, Daniel"
"Schmalfeldt, Janet",0.11622046,2.2178476,2011-2014,"Schmalfeldt, Janet"
"Schubert, Peter",-1.1235051,0.1329984,2011-2014,"Schubert, Peter"
"Koslovsky, John",-1.1684419,0.21742477,2011-2014,"Koslovsky, John"
"O’Donnell, Shaugn",0.9583138,-0.23583043,2011-2014,"O’Donnell, Shaugn"
"Roeder, John",1.274727,-0.89964575,2011-2014,"Roeder, John"
"Traut, Donald G.",1.0553155,-0.890344,2011-2014,"Traut, Donald G."
"Ewell, Philip A.",0.98455817,-0.5552027,2011-2014,"Ewell, Philip A."
"Karpinski, Gary S.",-2.4255078,0.07481944,2011-2014,"Karpinski, Gary S."
"Rusch, René",0.9941174,-0.99364734,2011-2014,"Rusch, René"
"Burns, Lori A.",0.82343996,0.5842393,2011-2014,"Burns, Lori A."
"Lafrance, Marc",0.84871453,0.57205,2011-2014,"Lafrance, Marc"
"M.A., Laura Hawley",0.8242929,0.60289764,2011-2014,"M.A., Laura Hawley"
"Cook, Nicholas",1.2711973,1.1888387,2011-2014,"Cook, Nicholas"
"Osborn, Brad",0.9731143,-0.09871472,2011-2014,"Osborn, Brad"
"Temperley, David",1.4193684,-0.04150353,2011-2014,"Temperley, David"
"Adams, Kyle",1.2505965,-0.15140039,2011-2014,"Adams, Kyle"
"Koozin, Timothy",1.4543798,0.59237874,2011-2014,"Koozin, Timothy"
"Childs, Adrian P.",0.6563033,0.25596732,2011-2014,"Childs, Adrian P."
