,x0,x1,snapshot,author_id
"Klorman, Edward",0.46285117,0.8860165,2014-2017,"Klorman, Edward"
"Guerrero, Jeannie Ma.",-2.5303838,0.18562321,2014-2017,"Guerrero, Jeannie Ma."
"Ohriner, Mitchell S.",-0.4455427,1.2915149,2014-2017,"Ohriner, Mitchell S."
"Schultz, Rob",1.0444673,0.6200801,2014-2017,"Schultz, Rob"
"Burns, Lori",0.93942,0.45704857,2014-2017,"Burns, Lori"
"McCreless, Patrick",1.1219406,-0.19069663,2014-2017,"McCreless, Patrick"
"Gotham, Mark",0.8033804,-0.88040435,2014-2017,"Gotham, Mark"
"McCandless, Gregory R.",1.0811518,-0.5168998,2014-2017,"McCandless, Gregory R."
"Salley, Keith",0.94975823,-0.6018589,2014-2017,"Salley, Keith"
"Kaminsky, Peter",-0.009855363,1.334642,2014-2017,"Kaminsky, Peter"
"Smith, Jordan B. L.",-2.53858,0.31903195,2014-2017,"Smith, Jordan B. L."
"Schankler, Isaac",-2.5014732,0.2697694,2014-2017,"Schankler, Isaac"
"Chew, Elaine",-2.5265968,0.19551662,2014-2017,"Chew, Elaine"
"Hough, Matthew T.",1.0353744,0.78255004,2014-2017,"Hough, Matthew T."
"Rockwell, Joti",0.86823046,-0.15066403,2014-2017,"Rockwell, Joti"
"Rings, Steven",1.0755486,0.75079775,2014-2017,"Rings, Steven"
"Lester, Joel",0.33042848,0.9795071,2014-2017,"Lester, Joel"
"Shaffer, Kris P.",0.7788656,0.47247022,2014-2017,"Shaffer, Kris P."
"Nobile, Drew F.",1.0294969,0.48018187,2014-2017,"Nobile, Drew F."
"Biamonte, Nicole",1.1193024,-0.38135335,2014-2017,"Biamonte, Nicole"
"Barolsky, Daniel",0.4009372,0.8738823,2014-2017,"Barolsky, Daniel"
"Schmalfeldt, Janet",0.5584069,0.5929011,2014-2017,"Schmalfeldt, Janet"
"Guido, Massimiliano",-0.33408093,1.0581148,2014-2017,"Guido, Massimiliano"
"Schubert, Peter",-0.3693662,1.0707403,2014-2017,"Schubert, Peter"
"Nemire, Julie A.",0.17063573,0.69903094,2014-2017,"Nemire, Julie A."
"Koslovsky, John",-2.071242,-0.21607259,2014-2017,"Koslovsky, John"
"Rothstein, William",0.5538331,-0.5376045,2014-2017,"Rothstein, William"
"Garcia, Luis-Manuel",-2.053054,-0.18955389,2014-2017,"Garcia, Luis-Manuel"
"O’Donnell, Shaugn",0.07035034,-1.1016921,2014-2017,"O’Donnell, Shaugn"
"Roeder, John",0.93196553,-0.666263,2014-2017,"Roeder, John"
"Traut, Donald G.",0.7150137,-0.7988425,2014-2017,"Traut, Donald G."
"Ewell, Philip A.",0.29210812,-0.42902222,2014-2017,"Ewell, Philip A."
"Karpinski, Gary S.",-2.5301692,0.29014987,2014-2017,"Karpinski, Gary S."
"Rusch, René",1.0115457,-0.70992917,2014-2017,"Rusch, René"
"Stover, Chris",0.89464396,-0.8275021,2014-2017,"Stover, Chris"
"Agawu, Kofi",1.1636833,-0.08890823,2014-2017,"Agawu, Kofi"
"Burns, Lori A.",0.85458714,0.49445286,2014-2017,"Burns, Lori A."
"Lafrance, Marc",0.84709376,0.3364993,2014-2017,"Lafrance, Marc"
"M.A., Laura Hawley",0.83834213,0.3647092,2014-2017,"M.A., Laura Hawley"
"Kopp, David",0.46088767,0.8013113,2014-2017,"Kopp, David"
"Cook, Nicholas",0.5318669,0.87054354,2014-2017,"Cook, Nicholas"
"Osborn, Brad",1.0106962,0.60527337,2014-2017,"Osborn, Brad"
"Temperley, David",1.0214887,0.56633335,2014-2017,"Temperley, David"
"Bugallo, Helena",-0.022863645,1.0070673,2014-2017,"Bugallo, Helena"
"Adams, Kyle",0.967554,-0.43290463,2014-2017,"Adams, Kyle"
"Hesselink, Nathan D.",0.9454079,-0.51735234,2014-2017,"Hesselink, Nathan D."
"Koozin, Timothy",1.1498768,-0.20178168,2014-2017,"Koozin, Timothy"
"Childs, Adrian P.",0.39709222,-0.3652022,2014-2017,"Childs, Adrian P."
"Neidhöfer, Christoph",-2.5086613,0.18608965,2014-2017,"Neidhöfer, Christoph"
"Hoeckner, Berthold",0.5923372,-1.0030985,2014-2017,"Hoeckner, Berthold"
"Waters, Keith",-2.350531,-0.3754554,2014-2017,"Waters, Keith"
"Rodgers, Stephen",-2.3576543,-0.4156525,2014-2017,"Rodgers, Stephen"
"Scotto, Ciro G.",0.7947972,-0.68839294,2014-2017,"Scotto, Ciro G."
"Covach, John R.",1.0385543,-0.4130547,2014-2017,"Covach, John R."
"Richards, Mark",0.98454434,-0.18607678,2014-2017,"Richards, Mark"
"Williams, Justin A.",0.9827525,-0.7280208,2014-2017,"Williams, Justin A."
"Boone, Christine",0.9672102,-0.6525216,2014-2017,"Boone, Christine"
"Bazayev, Inessa",-0.0035345338,-0.4740841,2014-2017,"Bazayev, Inessa"
"Benadon, Fernando",0.2894307,-1.4136455,2014-2017,"Benadon, Fernando"
"Cumming, Julie E.",-0.39953724,0.94648117,2014-2017,"Cumming, Julie E."
"Gjerdingen, Robert",0.013098009,0.95460206,2014-2017,"Gjerdingen, Robert"
"Bourne, Janet",0.35842678,0.84876764,2014-2017,"Bourne, Janet"
"Clercq, Trevor de",1.1367574,-0.086034626,2014-2017,"Clercq, Trevor de"
"Attas, Robin",1.0288454,0.4292023,2014-2017,"Attas, Robin"
"Bakulina, Ellen",0.2505419,-0.5029691,2014-2017,"Bakulina, Ellen"
"BaileyShea, Matt",1.0188622,0.24653535,2014-2017,"BaileyShea, Matt"
"Nooshin, Laudan",-0.20797661,0.7834675,2014-2017,"Nooshin, Laudan"
"Covach, John",0.87101984,0.31793603,2014-2017,"Covach, John"
"Gann, Kyle",0.16998924,0.63270885,2014-2017,"Gann, Kyle"
"Cox, Arnie",0.9885081,0.31926617,2014-2017,"Cox, Arnie"
"Johnson, Timothy A.",1.1581337,-0.2616801,2014-2017,"Johnson, Timothy A."
"Rahn, Jay",0.08697886,-0.39760762,2014-2017,"Rahn, Jay"
"Killam, Rosemary N.",1.1402007,-0.31928757,2014-2017,"Killam, Rosemary N."
"Murcott, Dominic",0.26675114,0.7507418,2014-2017,"Murcott, Dominic"
"Wild, Jonathan",0.19206195,-0.9040834,2014-2017,"Wild, Jonathan"
"Hepokoski, James",0.07589068,0.8357759,2014-2017,"Hepokoski, James"
"McFarland, Mark",-2.3122354,-0.42427987,2014-2017,"McFarland, Mark"
"Amiot, Emmanuel",-2.006378,-0.19059438,2014-2017,"Amiot, Emmanuel"
"Jenkins, J. Daniel",0.26289386,-0.2629977,2014-2017,"Jenkins, J. Daniel"
"Lochhead, Judith",1.1280755,-0.24764726,2014-2017,"Lochhead, Judith"
"London, Justin",0.59826744,-1.0416958,2014-2017,"London, Justin"
"Rabinovitch, Gilad",-0.16933027,0.8392289,2014-2017,"Rabinovitch, Gilad"
"Fankhauser, Gabe",-2.0254097,-0.18766522,2014-2017,"Fankhauser, Gabe"
"Snodgrass, Jennifer Sterling",-2.027558,-0.17835833,2014-2017,"Snodgrass, Jennifer Sterling"
"Johnston, Blair",0.607622,-0.540209,2014-2017,"Johnston, Blair"
"Callahan, Michael R.",0.9321104,0.4286341,2014-2017,"Callahan, Michael R."
"Buchler, Michael",0.19556862,-1.0783491,2014-2017,"Buchler, Michael"
"Shanahan, Daniel",0.29394788,1.0177665,2014-2017,"Shanahan, Daniel"
"Kozak, Mariusz",1.0991905,0.096809395,2014-2017,"Kozak, Mariusz"
"Fillerup, Jessie",0.60378075,0.41762197,2014-2017,"Fillerup, Jessie"
"Brinkman, Alexander R.",-2.1071172,0.094474286,2014-2017,"Brinkman, Alexander R."
"Marvin, Elizabeth W.",-2.1164258,0.0876834,2014-2017,"Marvin, Elizabeth W."
"Robison, Brian",0.56159925,-0.16234936,2014-2017,"Robison, Brian"
"Cohen, Gilad",0.88150746,0.59394157,2014-2017,"Cohen, Gilad"
"Willey, Robert",0.05880881,0.99818623,2014-2017,"Willey, Robert"
"Leydon, Rebecca",1.0876911,-0.44357935,2014-2017,"Leydon, Rebecca"
"BaileyShea, Matthew L.",1.0144756,0.8804574,2014-2017,"BaileyShea, Matthew L."
"Tenzer, Michael S.",-0.23324148,-1.5293859,2014-2017,"Tenzer, Michael S."
"Samarotto, Frank",-2.376806,-0.20416248,2014-2017,"Samarotto, Frank"
"Stoecker, Philip",0.24019623,-1.1609092,2014-2017,"Stoecker, Philip"
"Willner, Channan",1.0321896,-0.40040934,2014-2017,"Willner, Channan"
"Sly, Gordon",-2.0612667,-0.22765553,2014-2017,"Sly, Gordon"
"Murphy, Scott",0.97685504,-0.5661964,2014-2017,"Murphy, Scott"
