,x0,x1,snapshot,author_id
"Klorman, Edward",-0.3683642,1.4742415,2023-2026,"Klorman, Edward"
"Guerrero, Jeannie Ma.",0.3870093,1.8754349,2023-2026,"Guerrero, Jeannie Ma."
"Murphy, Nancy",-0.71397966,0.21090628,2023-2026,"Murphy, Nancy"
"Ohriner, Mitchell S.",-0.7339666,0.37959483,2023-2026,"Ohriner, Mitchell S."
"Schultz, Rob",-0.8590936,-0.17404903,2023-2026,"Schultz, Rob"
"Ofcarcik, Judith",2.7388966,0.05447583,2023-2026,"Ofcarcik, Judith"
"Burns, Lori",-0.77914757,0.23273419,2023-2026,"Burns, Lori"
"McCreless, Patrick",-0.63211817,0.33582708,2023-2026,"McCreless, Patrick"
"Gotham, Mark",-0.66665024,-0.585022,2023-2026,"Gotham, Mark"
"Gran, Jacob",0.12489859,-1.3923625,2023-2026,"Gran, Jacob"
"Miller, Brian A.",0.23005934,0.1968002,2023-2026,"Miller, Brian A."
"Cubero, Diego",-0.06806888,-0.84283245,2023-2026,"Cubero, Diego"
"McCandless, Gregory R.",-0.7610432,-0.20464993,2023-2026,"McCandless, Gregory R."
"Salley, Keith",-0.7493339,0.2781086,2023-2026,"Salley, Keith"
"Kaminsky, Peter",-0.54807764,0.83302927,2023-2026,"Kaminsky, Peter"
"Smith, Jordan B. L.",0.39645755,-0.6177824,2023-2026,"Smith, Jordan B. L."
"Schankler, Isaac",0.42717844,-0.7696598,2023-2026,"Schankler, Isaac"
"Chew, Elaine",0.38802534,-0.6767255,2023-2026,"Chew, Elaine"
"Heetderks, David",-0.7870633,-0.035846867,2023-2026,"Heetderks, David"
"Hough, Matthew T.",-0.8471686,-0.17642823,2023-2026,"Hough, Matthew T."
"Rockwell, Joti",-0.6211598,-0.39173263,2023-2026,"Rockwell, Joti"
"Rings, Steven",-0.69380397,0.48187,2023-2026,"Rings, Steven"
"Lester, Joel",-0.19115834,1.5358422,2023-2026,"Lester, Joel"
"Shaffer, Kris P.",-0.14460559,-0.102855384,2023-2026,"Shaffer, Kris P."
"Nobile, Drew F.",-0.6971022,-0.027162345,2023-2026,"Nobile, Drew F."
"Hilewicz, Orit",-0.8061643,-0.085476354,2023-2026,"Hilewicz, Orit"
"Remeš, Derek",-0.24244937,-0.965144,2023-2026,"Remeš, Derek"
"Jakubowski, Joseph R",-0.48741606,-0.8879346,2023-2026,"Jakubowski, Joseph R"
"Clayton, Martin",-0.7006728,-0.5976531,2023-2026,"Clayton, Martin"
"Biamonte, Nicole",-0.8797174,-0.10734777,2023-2026,"Biamonte, Nicole"
"Barolsky, Daniel",-0.36933938,1.4638017,2023-2026,"Barolsky, Daniel"
"Schmalfeldt, Janet",-0.23532803,1.5111134,2023-2026,"Schmalfeldt, Janet"
"Kovaciny, Stephen M.",0.4089001,-0.059796814,2023-2026,"Kovaciny, Stephen M."
"Guido, Massimiliano",-0.42141366,-0.09689912,2023-2026,"Guido, Massimiliano"
"Schubert, Peter",-0.36805424,-0.21395612,2023-2026,"Schubert, Peter"
"Cook, Robert C.",-0.07207726,-0.84566504,2023-2026,"Cook, Robert C."
"Nemire, Julie A.",0.47827363,0.43411958,2023-2026,"Nemire, Julie A."
"Hannaford, Marc",-0.459963,0.19887641,2023-2026,"Hannaford, Marc"
"Mastic, Timothy R.",3.0751102,-0.4019978,2023-2026,"Mastic, Timothy R."
"Koslovsky, John",2.5698948,-0.00079237967,2023-2026,"Koslovsky, John"
"Schubert, Peter N.",0.090114266,-0.7827676,2023-2026,"Schubert, Peter N."
"Noble, Jason D. K.",-0.0941829,0.07993762,2023-2026,"Noble, Jason D. K."
"Rothstein, William",-0.45328486,-0.483712,2023-2026,"Rothstein, William"
"Garcia, Luis-Manuel",-0.26057085,0.6110851,2023-2026,"Garcia, Luis-Manuel"
"O’Donnell, Shaugn",0.7705542,-1.1607041,2023-2026,"O’Donnell, Shaugn"
"Roeder, John",-0.5356946,-0.525285,2023-2026,"Roeder, John"
"Traut, Donald G.",-0.3263034,-0.4742996,2023-2026,"Traut, Donald G."
"Ewell, Philip A.",-0.83534145,-0.43808955,2023-2026,"Ewell, Philip A."
"Mitchell, Nathaniel",-0.13762844,0.78419715,2023-2026,"Mitchell, Nathaniel"
"Karpinski, Gary S.",0.10534419,-0.693208,2023-2026,"Karpinski, Gary S."
"Rusch, René",-0.82897466,0.0621728,2023-2026,"Rusch, René"
"Stover, Chris",-0.6415696,0.15799326,2023-2026,"Stover, Chris"
"Agawu, Kofi",-0.51661694,0.4174918,2023-2026,"Agawu, Kofi"
"Levy, Benjamin R.",0.50254714,1.9087516,2023-2026,"Levy, Benjamin R."
"Burns, Lori A.",-0.5722425,0.25151244,2023-2026,"Burns, Lori A."
"Lafrance, Marc",-0.65667355,0.30721843,2023-2026,"Lafrance, Marc"
"M.A., Laura Hawley",-0.6278228,0.25185454,2023-2026,"M.A., Laura Hawley"
"Kopp, David",-0.14580414,1.7088882,2023-2026,"Kopp, David"
"Principi, Dylan",0.10997769,0.05862192,2023-2026,"Principi, Dylan"
"Stoia, Nicholas",-0.71169144,-0.10913528,2023-2026,"Stoia, Nicholas"
"Cook, Nicholas",-0.41002735,1.4333692,2023-2026,"Cook, Nicholas"
"Osborn, Brad",-0.68235016,-0.005338315,2023-2026,"Osborn, Brad"
"Temperley, David",-0.79797286,-0.18070959,2023-2026,"Temperley, David"
"Bugallo, Helena",0.7147527,0.41850248,2023-2026,"Bugallo, Helena"
"Adams, Kyle",-0.8709764,-0.032536246,2023-2026,"Adams, Kyle"
"Hesselink, Nathan D.",-0.084598206,-0.52592266,2023-2026,"Hesselink, Nathan D."
"Koozin, Timothy",-0.748115,0.31745133,2023-2026,"Koozin, Timothy"
"Childs, Adrian P.",0.6441632,-1.1308957,2023-2026,"Childs, Adrian P."
"Neidhöfer, Christoph",0.25226983,1.8364923,2023-2026,"Neidhöfer, Christoph"
"Hoeckner, Berthold",-0.6362252,-0.7084958,2023-2026,"Hoeckner, Berthold"
"Cook, Karen M.",0.20696764,0.01215314,2023-2026,"Cook, Karen M."
"Momii, Toru",-0.69417584,0.35596186,2023-2026,"Momii, Toru"
"Chiu, Matt",3.2075815,0.18168922,2023-2026,"Chiu, Matt"
"Waters, Keith",-0.5376501,0.024021484,2023-2026,"Waters, Keith"
"Margulis, Elizabeth Hellmuth",0.03773708,0.7856585,2023-2026,"Margulis, Elizabeth Hellmuth"
"Miller, Natalie",0.15078218,0.86463565,2023-2026,"Miller, Natalie"
"Windholz, Mauro Orsini",0.060128756,0.7994499,2023-2026,"Windholz, Mauro Orsini"
"Williams, Jamal",0.21690074,0.8374709,2023-2026,"Williams, Jamal"
"McAuley, J. Devin",0.033829954,0.85813695,2023-2026,"McAuley, J. Devin"
"Wang, Anna Yu",-0.7862239,-0.4135109,2023-2026,"Wang, Anna Yu"
"Rodgers, Stephen",-0.5701867,-0.07344305,2023-2026,"Rodgers, Stephen"
"Scotto, Ciro G.",-0.36887103,-0.52326167,2023-2026,"Scotto, Ciro G."
"Short, Rachel",-0.6826488,0.20867643,2023-2026,"Short, Rachel"
"Covach, John R.",-0.79497325,0.38855729,2023-2026,"Covach, John R."
"Scherzinger, Martin",-0.73387855,-0.31928,2023-2026,"Scherzinger, Martin"
"Belcher, Owen",-0.53006804,-0.75472474,2023-2026,"Belcher, Owen"
"Kim, Catrina",-0.5576153,-0.7590131,2023-2026,"Kim, Catrina"
"Reese, Alan",-0.5870409,-0.6534476,2023-2026,"Reese, Alan"
"Micchelli, Mark",-0.76712143,0.65727,2023-2026,"Micchelli, Mark"
"Richards, Mark",-0.801151,-0.14959253,2023-2026,"Richards, Mark"
"Ng, Samuel",-0.8415322,-0.24669455,2023-2026,"Ng, Samuel"
"Link, John",1.1118866,-1.2667799,2023-2026,"Link, John"
"Ferrandino, Matthew E.",-0.08623894,0.53994364,2023-2026,"Ferrandino, Matthew E."
"Boyd, Clifton",-0.7734705,-0.65096676,2023-2026,"Boyd, Clifton"
"Duinker, Ben",-0.90794986,0.08459338,2023-2026,"Duinker, Ben"
"Hisama, Ellie M.",-0.7371496,-0.8546447,2023-2026,"Hisama, Ellie M."
"Williams, Justin A.",-0.7935089,0.16276866,2023-2026,"Williams, Justin A."
"Boone, Christine",-0.6536244,0.18015634,2023-2026,"Boone, Christine"
"Lavengood, Megan",0.093511015,0.04336881,2023-2026,"Lavengood, Megan"
"Williams, Evan",0.134616,0.08325736,2023-2026,"Williams, Evan"
"Miller, Paul V.",3.9492426,0.32524395,2023-2026,"Miller, Paul V."
"Cox, Christopher",3.941353,0.344322,2023-2026,"Cox, Christopher"
"Bazayev, Inessa",-0.4124643,-0.8686197,2023-2026,"Bazayev, Inessa"
"Benadon, Fernando",-0.13934529,0.22965898,2023-2026,"Benadon, Fernando"
"Cumming, Julie E.",0.09049795,0.12052433,2023-2026,"Cumming, Julie E."
"Shupe, Abigail",-0.16801602,-0.82176715,2023-2026,"Shupe, Abigail"
"Shaftel, Matthew",-0.88628507,-0.098024815,2023-2026,"Shaftel, Matthew"
